1\,540730\,269761\,269761\,5\,1\,1
2\,540733\,266517\,266517\,5\,2\,1
3\,540735\,263274\,263274\,5\,3\,1
4\,540737\,260031\,260031\,5\,4\,1
5\,540740\,256788\,256788\,5\,5\,1
6\,540742\,253544\,253544\,5\,6\,1
7\,540745\,250301\,250301\,5\,7\,1
8\,540747\,247058\,247058\,5\,8\,1
9\,540749\,243814\,243814\,5\,9\,1
10\,540752\,240571\,240571\,5\,10\,1
11\,540754\,237327\,237327\,5\,11\,1
12\,540757\,234084\,234084\,5\,12\,1
13\,540759\,230840\,230840\,5\,13\,1
14\,540761\,227597\,227597\,5\,14\,1
15\,540764\,224353\,224353\,5\,15\,1
16\,540766\,221110\,221110\,5\,16\,1
17\,540769\,217866\,217866\,5\,17\,1
18\,540771\,214622\,214622\,5\,18\,1
19\,540774\,211379\,211379\,5\,19\,1
20\,540776\,208135\,208135\,5\,20\,1
21\,540778\,204891\,204891\,5\,21\,1
22\,540781\,201647\,201647\,5\,22\,1
23\,540783\,198404\,198404\,5\,23\,1
24\,540786\,195160\,195160\,5\,24\,1
25\,540788\,191916\,191916\,5\,25\,1
26\,540790\,188672\,188672\,5\,26\,1
27\,540793\,185428\,185428\,5\,27\,1
28\,540795\,182184\,182184\,5\,28\,1
29\,540798\,178940\,178940\,5\,29\,1
30\,540800\,175696\,175696\,5\,30\,1
31\,540802\,172452\,172452\,5\,31\,1
32\,540805\,169208\,169208\,5\,32\,1
33\,540807\,165964\,165964\,5\,33\,1
34\,540810\,162720\,162720\,5\,34\,1
35\,540812\,159476\,159476\,5\,35\,1
36\,540814\,156232\,156232\,5\,36\,1
37\,540817\,152987\,152987\,5\,37\,1
38\,540819\,149743\,149743\,5\,38\,1
39\,540822\,146499\,146499\,5\,39\,1
40\,540824\,143255\,143255\,5\,40\,1
41\,540827\,140010\,140010\,5\,41\,1
42\,540829\,136766\,136766\,5\,42\,1
43\,540831\,133521\,133521\,5\,43\,1
44\,540834\,130277\,130277\,5\,44\,1
45\,540836\,127033\,127033\,5\,45\,1
46\,540839\,123788\,123788\,5\,46\,1
47\,540841\,120544\,120544\,5\,47\,1
48\,540843\,117299\,117299\,5\,48\,1
