453941\,36025\,19809\,19809\,8\,2998\,501
453942\,36027\,19595\,19595\,8\,2999\,501
453943\,36030\,21541\,21541\,8\,3000\,501
453944\,36032\,21327\,21327\,8\,3001\,501
453945\,36035\,21112\,21112\,8\,3002\,501
453946\,36037\,20897\,20897\,8\,3003\,501
453947\,36039\,20682\,20682\,8\,3004\,501
453948\,36042\,20467\,20467\,8\,3005\,501
453949\,36044\,20252\,20252\,8\,3006\,501
453950\,36046\,20037\,20037\,8\,3007\,501
453951\,36049\,19822\,19822\,8\,3008\,501
453952\,36051\,19607\,19607\,8\,3009\,501
453953\,36053\,21556\,21556\,8\,3010\,501
453954\,36056\,21341\,21341\,8\,3011\,501
453955\,36058\,21126\,21126\,8\,3012\,501
453956\,36061\,20911\,20911\,8\,3013\,501
453957\,36063\,20696\,20696\,8\,3014\,501
453958\,36065\,20481\,20481\,8\,3015\,501
453959\,36068\,20266\,20266\,8\,3016\,501
453960\,36070\,20051\,20051\,8\,3017\,501
453961\,36072\,19835\,19835\,8\,3018\,501
453962\,36075\,19620\,19620\,8\,3019\,501
453963\,36077\,21570\,21570\,8\,3020\,501
453964\,36080\,21355\,21355\,8\,3021\,501
453965\,36082\,21140\,21140\,8\,3022\,501
453966\,36084\,20924\,20924\,8\,3023\,501
453967\,36087\,20709\,20709\,8\,3024\,501
453968\,36089\,20494\,20494\,8\,3025\,501
453969\,36091\,20279\,20279\,8\,3026\,501
453970\,36094\,20064\,20064\,8\,3027\,501
453971\,36096\,19848\,19848\,8\,3028\,501
453972\,36098\,19633\,19633\,8\,3029\,501
453973\,36101\,21584\,21584\,8\,3030\,501
453974\,36103\,21369\,21369\,8\,3031\,501
453975\,36105\,21153\,21153\,8\,3032\,501
453976\,36108\,20938\,20938\,8\,3033\,501
453977\,36110\,20723\,20723\,8\,3034\,501
453978\,36113\,20508\,20508\,8\,3035\,501
453979\,36115\,20292\,20292\,8\,3036\,501
453980\,36117\,20077\,20077\,8\,3037\,501
453981\,36120\,19861\,19861\,8\,3038\,501
453982\,36122\,19646\,19646\,8\,3039\,501
